GENESIS-Tabelle: 12411-0016
Bevölkerung: Kreise, Stichtag, Geschlecht;;;;;
Fortschreibung des Bevölkerungsstandes;;;;;
Bevölkerungsstand (Anzahl);;;;;
;;;Geschlecht;Geschlecht;Geschlecht
;;;männlich;weiblich;Insgesamt
31.12.2016;09276;Regen, Landkreis;38568;38619;77187
31.12.2016;09277;Rottal-Inn, Landkreis;59621;59996;119617
31.12.2016;09278;Straubing-Bogen, Landkreis;49867;49354;99221
31.12.2016;09279;Dingolfing-Landau, Landkreis;49087;45948;95035
31.12.2016;09361;Amberg, kreisfreie Stadt;20901;21447;42348
31.12.2016;09362;Regensburg, kreisfreie Stadt;71800;76838;148638
31.12.2016;09363;Weiden in der Oberpfalz, kreisfreie Stadt;20457;22037;42494
31.12.2016;09371;Amberg-Sulzbach, Landkreis;51539;51470;103009
31.12.2016;09372;Cham, Landkreis;63589;63329;126918
31.12.2016;09373;Neumarkt in der Oberpfalz, Landkreis;66526;65136;131662
31.12.2016;09374;Neustadt an der Waldnaab, Landkreis;46996;47532;94528
31.12.2016;09375;Regensburg, Landkreis;95267;95214;190481
31.12.2016;09376;Schwandorf, Landkreis;73054;72328;145382
31.12.2016;09377;Tirschenreuth, Landkreis;36285;36633;72918
31.12.2016;09461;Bamberg, kreisfreie Stadt;36286;39457;75743
31.12.2016;09462;Bayreuth, kreisfreie Stadt;35438;37627;73065
31.12.2016;09463;Coburg, kreisfreie Stadt;19929;21142;41071
31.12.2016;09464;Hof, kreisfreie Stadt;21631;23552;45183
31.12.2016;09471;Bamberg, Landkreis;73163;72879;146042
31.12.2016;09472;Bayreuth, Landkreis;51365;52511;103876
31.12.2016;09473;Coburg, Landkreis;42932;43802;86734
31.12.2016;09474;Forchheim, Landkreis;57091;58168;115259
31.12.2016;09475;Hof, Landkreis;46786;49129;95915
31.12.2016;09476;Kronach, Landkreis;33304;34309;67613
31.12.2016;09477;Kulmbach, Landkreis;35292;36701;71993
31.12.2016;09478;Lichtenfels, Landkreis;32872;33768;66640
31.12.2016;09479;Wunsiedel im Fichtelgebirge, Landkreis;35715;37545;73260
31.12.2016;09561;Ansbach, kreisfreie Stadt;19885;21647;41532
31.12.2016;09562;Erlangen, kreisfreie Stadt;54603;55635;110238
31.12.2016;09563;Fürth, kreisfreie Stadt;61372;64031;125403
31.12.2016;09564;Nürnberg, kreisfreie Stadt;248451;263177;511628
31.12.2016;09565;Schwabach, kreisfreie Stadt;19821;20886;40707
31.12.2016;09571;Ansbach, Landkreis;91474;90704;182178
31.12.2016;09572;Erlangen-Höchstadt, Landkreis;66980;67660;134640
31.12.2016;09573;Fürth, Landkreis;56338;59633;115971
31.12.2016;09574;Nürnberger Land, Landkreis;83261;85632;168893
31.12.2016;09575;Neustadt an der Aisch-Bad Windsheim, Landkreis;49611;49721;99332
31.12.2016;09576;Roth, Landkreis;62441;63122;125563
31.12.2016;09577;Weißenburg-Gunzenhausen, Landkreis;46859;47115;93974
31.12.2016;09661;Aschaffenburg, kreisfreie Stadt;33450;35737;69187
31.12.2016;09662;Schweinfurt, kreisfreie Stadt;25637;27087;52724
31.12.2016;09663;Würzburg, kreisfreie Stadt;59978;66032;126010
31.12.2016;09671;Aschaffenburg, Landkreis;86125;87379;173504
31.12.2016;09672;Bad Kissingen, Landkreis;50660;52440;103100
31.12.2016;09673;Rhön-Grabfeld, Landkreis;39725;40130;79855
31.12.2016;09674;Haßberge, Landkreis;42326;42047;84373
31.12.2016;09675;Kitzingen, Landkreis;45051;44697;89748
31.12.2016;09676;Miltenberg, Landkreis;64059;64484;128543
31.12.2016;09677;Main-Spessart, Landkreis;62955;63346;126301
31.12.2016;09678;Schweinfurt, Landkreis;57424;57399;114823
31.12.2016;09679;Würzburg, Landkreis;80091;80950;161041
31.12.2016;09761;Augsburg, kreisfreie Stadt;142033;147551;289584
31.12.2016;09762;Kaufbeuren, kreisfreie Stadt;21192;21942;43134
31.12.2016;09763;Kempten (Allgäu), kreisfreie Stadt;33437;34092;67529
31.12.2016;09764;Memmingen, kreisfreie Stadt;21331;21962;43293
31.12.2016;09771;Aichach-Friedberg, Landkreis;65469;65930;131399
31.12.2016;09772;Augsburg, Landkreis;122867;124672;247539
31.12.2016;09773;Dillingen an der Donau, Landkreis;47260;47296;94556
31.12.2016;09774;Günzburg, Landkreis;62300;61198;123498
31.12.2016;09775;Neu-Ulm, Landkreis;84801;86210;171011
31.12.2016;09776;Lindau (Bodensee), Landkreis;39869;41092;80961
31.12.2016;09777;Ostallgäu, Landkreis;68912;69353;138265
31.12.2016;09778;Unterallgäu, Landkreis;70916;70249;141165
31.12.2016;09779;Donau-Ries, Landkreis;67090;65208;132298
31.12.2016;09780;Oberallgäu, Landkreis;75818;77941;153759
31.12.2016;10041;Regionalverband Saarbrücken, Landkreis;161796;167797;329593
31.12.2016;10042;Merzig-Wadern, Landkreis;51417;52491;103908
31.12.2016;10043;Neunkirchen, Landkreis;65826;68158;133984
31.12.2016;10044;Saarlouis, Landkreis;96416;100193;196609
31.12.2016;10045;Saarpfalz-Kreis;70211;73889;144100
31.12.2016;10046;Sankt Wendel, Landkreis;43750;44707;88457
31.12.2016;11000;Berlin, kreisfreie Stadt;1755700;1819130;3574830
31.12.2016;12051;Brandenburg an der Havel, kreisfreie Stadt;35380;36284;71664
31.12.2016;12052;Cottbus, kreisfreie Stadt;49542;50874;100416
31.12.2016;12053;Frankfurt (Oder), kreisfreie Stadt;28116;30077;58193
31.12.2016;12054;Potsdam, kreisfreie Stadt;83060;88750;171810
31.12.2016;12060;Barnim, Landkreis;88957;90408;179365
31.12.2016;12061;Dahme-Spreewald, Landkreis;82395;83679;166074
31.12.2016;12062;Elbe-Elster, Landkreis;51705;52692;104397
31.12.2016;12063;Havelland, Landkreis;78988;80697;159685
31.12.2016;12064;Märkisch-Oderland, Landkreis;95141;96544;191685
31.12.2016;12065;Oberhavel, Landkreis;102848;105791;208639
31.12.2016;12066;Oberspreewald-Lausitz, Landkreis;55035;56927;111962
31.12.2016;12067;Oder-Spree, Landkreis;88012;90837;178849
31.12.2016;12068;Ostprignitz-Ruppin, Landkreis;49501;49913;99414
31.12.2016;12069;Potsdam-Mittelmark, Landkreis;105324;106883;212207
31.12.2016;12070;Prignitz, Landkreis;38778;39035;77813
31.12.2016;12071;Spree-Neiße, Landkreis;57595;59231;116826
31.12.2016;12072;Teltow-Fläming, Landkreis;81980;82791;164771
31.12.2016;12073;Uckermark, Landkreis;59326;61552;120878
31.12.2016;13001;Greifswald, kreisfreie Stadt (bis 03.09.2011);-;-;-
31.12.2016;13002;Neubrandenburg, kreisfreie Stadt (bis 03.09.2011);-;-;-
31.12.2016;13003;Rostock, kreisfreie Stadt;102082;105431;207513
31.12.2016;13004;Schwerin, kreisfreie Stadt;46111;49557;95668
31.12.2016;13005;Stralsund, kreisfreie Stadt (bis 03.09.2011);-;-;-
31.12.2016;13006;Wismar, kreisfreie Stadt (bis 03.09.2011);-;-;-
31.12.2016;13051;Bad Doberan, Landkreis (bis 03.09.2011);-;-;-
31.12.2016;13052;Demmin, Landkreis (bis 03.09.2011);-;-;-
31.12.2016;13053;Güstrow, Landkreis (bis 03.09.2011);-;-;-
31.12.2016;13054;Ludwigslust, Landkreis (bis 03.09.2011);-;-;-
31.12.2016;13055;Mecklenburg-Strelitz, Landkreis (bis 03.09.2011);-;-;-
31.12.2016;13056;Müritz, Landkreis (bis 03.09.2011);-;-;-
31.12.2016;13057;Nordvorpommern, Landkreis (bis 03.09.2011);-;-;-
31.12.2016;13058;Nordwestmecklenburg, Landkreis (bis 03.09.2011);-;-;-
31.12.2016;13059;Ostvorpommern, Landkreis (bis 03.09.2011);-;-;-
31.12.2016;13060;Parchim, Landkreis (bis 03.09.2011);-;-;-
31.12.2016;13061;Rügen, Landkreis (bis 03.09.2011);-;-;-
31.12.2016;13062;Uecker-Randow, Landkreis (bis 03.09.2011);-;-;-
31.12.2016;13071;Mecklenburgische Seenplatte, Landkreis;128806;133010;261816
31.12.2016;13072;Rostock, Landkreis;106578;107367;213945
31.12.2016;13073;Vorpommern-Rügen, Landkreis;110869;114102;224971
31.12.2016;13074;Nordwestmecklenburg, Landkreis;78132;78693;156825
31.12.2016;13075;Vorpommern-Greifswald, Landkreis;116746;120628;237374
31.12.2016;13076;Ludwigslust-Parchim, Landkreis;106143;106419;212562
31.12.2016;14161;Chemnitz, kreisfreie Stadt (bis 31.07.2008);-;-;-
31.12.2016;14166;Plauen, kreisfreie Stadt (bis 31.07.2008);-;-;-
31.12.2016;14167;Zwickau, kreisfreie Stadt (bis 31.07.2008);-;-;-
31.12.2016;14171;Annaberg, Landkreis (bis 31.07.2008);-;-;-
31.12.2016;14173;Chemnitzer Land, Landkreis (bis 31.07.2008);-;-;-
31.12.2016;14177;Freiberg, Landkreis (bis 31.07.2008);-;-;-
31.12.2016;14178;Vogtlandkreis (bis 31.07.2008);-;-;-
31.12.2016;14181;Mittlerer Erzgebirgskreis (bis 31.07.2008);-;-;-
31.12.2016;14182;Mittweida, Landkreis (bis 31.07.2008);-;-;-
31.12.2016;14188;Stollberg, Landkreis (bis 31.07.2008);-;-;-
31.12.2016;14191;Aue-Schwarzenberg, Landkreis (bis 31.07.2008);-;-;-
31.12.2016;14193;Zwickauer Land, Landkreis (bis 31.07.2008);-;-;-
31.12.2016;14262;Dresden, kreisfreie Stadt (bis 31.07.2008);-;-;-
31.12.2016;14263;Görlitz, kreisfreie Stadt (bis 31.07.2008);-;-;-
