ID;Kreise;Maennlich;Weiblich;Insgesamt
09676;Miltenberg, Landkreis;64059;64484;128543
09677;Main-Spessart, Landkreis;62955;63346;126301
09678;Schweinfurt, Landkreis;57424;57399;114823
09679;Würzburg, Landkreis;80091;80950;161041
09761;Augsburg, kreisfreie Stadt;142033;147551;289584
09762;Kaufbeuren, kreisfreie Stadt;21192;21942;43134
09763;Kempten (Allgäu), kreisfreie Stadt;33437;34092;67529
09764;Memmingen, kreisfreie Stadt;21331;21962;43293
09771;Aichach-Friedberg, Landkreis;65469;65930;131399
09772;Augsburg, Landkreis;122867;124672;247539
09773;Dillingen an der Donau, Landkreis;47260;47296;94556
09774;Günzburg, Landkreis;62300;61198;123498
09775;Neu-Ulm, Landkreis;84801;86210;171011
09776;Lindau (Bodensee), Landkreis;39869;41092;80961
09777;Ostallgäu, Landkreis;68912;69353;138265
09778;Unterallgäu, Landkreis;70916;70249;141165
09779;Donau-Ries, Landkreis;67090;65208;132298
09780;Oberallgäu, Landkreis;75818;77941;153759
10041;Regionalverband Saarbrücken, Landkreis;161796;167797;329593
10042;Merzig-Wadern, Landkreis;51417;52491;103908
10043;Neunkirchen, Landkreis;65826;68158;133984
10044;Saarlouis, Landkreis;96416;100193;196609
10045;Saarpfalz-Kreis;70211;73889;144100
10046;Sankt Wendel, Landkreis;43750;44707;88457
11000;Berlin, kreisfreie Stadt;1755700;1819130;3574830
12051;Brandenburg an der Havel, kreisfreie Stadt;35380;36284;71664
12052;Cottbus, kreisfreie Stadt;49542;50874;100416
12053;Frankfurt (Oder), kreisfreie Stadt;28116;30077;58193
12054;Potsdam, kreisfreie Stadt;83060;88750;171810
12060;Barnim, Landkreis;88957;90408;179365
12061;Dahme-Spreewald, Landkreis;82395;83679;166074
12062;Elbe-Elster, Landkreis;51705;52692;104397
12063;Havelland, Landkreis;78988;80697;159685
12064;Märkisch-Oderland, Landkreis;95141;96544;191685
12065;Oberhavel, Landkreis;102848;105791;208639
12066;Oberspreewald-Lausitz, Landkreis;55035;56927;111962
12067;Oder-Spree, Landkreis;88012;90837;178849
12068;Ostprignitz-Ruppin, Landkreis;49501;49913;99414
12069;Potsdam-Mittelmark, Landkreis;105324;106883;212207
12070;Prignitz, Landkreis;38778;39035;77813
12071;Spree-Neiße, Landkreis;57595;59231;116826
12072;Teltow-Fläming, Landkreis;81980;82791;164771
12073;Uckermark, Landkreis;59326;61552;120878
13001;Greifswald, kreisfreie Stadt (bis 03.09.2011);-;-;-
13002;Neubrandenburg, kreisfreie Stadt (bis 03.09.2011);-;-;-
13003;Rostock, kreisfreie Stadt;102082;105431;207513
13004;Schwerin, kreisfreie Stadt;46111;49557;95668
13005;Stralsund, kreisfreie Stadt (bis 03.09.2011);-;-;-
13006;Wismar, kreisfreie Stadt (bis 03.09.2011);-;-;-
13051;Bad Doberan, Landkreis (bis 03.09.2011);-;-;-
13052;Demmin, Landkreis (bis 03.09.2011);-;-;-
13053;Güstrow, Landkreis (bis 03.09.2011);-;-;-
13054;Ludwigslust, Landkreis (bis 03.09.2011);-;-;-
13055;Mecklenburg-Strelitz, Landkreis (bis 03.09.2011);-;-;-
13056;Müritz, Landkreis (bis 03.09.2011);-;-;-
13057;Nordvorpommern, Landkreis (bis 03.09.2011);-;-;-
